datetime,casual,registered,cnt
2011-01-31,3073,35116,38189
2011-02-28,6242,41973,48215
2011-03-31,12826,51219,64045
2011-04-30,22346,72524,94870
2011-05-31,31050,104771,135821
2011-06-30,30612,112900,143512
2011-07-31,36452,104889,141341
2011-08-31,28842,107849,136691
2011-09-30,26545,100873,127418
2011-10-31,25222,98289,123511
2011-11-30,15594,86573,102167
2011-12-31,8448,78875,87323
2012-01-31,8969,87775,96744
2012-02-29,8721,94416,103137
2012-03-31,31618,133257,164875
2012-04-30,38456,135768,174224
2012-05-31,44235,151630,195865
2012-06-30,43294,159536,202830
2012-07-31,41705,161902,203607
2012-08-31,43197,171306,214503
2012-09-30,43778,174795,218573
2012-10-31,34538,164303,198841
2012-11-30,21009,131655,152664
2012-12-31,13245,110468,123713
